trade_id,date,time,side,reason,price,position_before_pct,position_after_pct,delta_pct,realized_pnl,capital_after,final_score,legacy_score,trend_score,signal_score,norm_short,norm_long,regime,risk_scale,target_position_pct,direction,speed
1,2019-07-17,09:36:55,buy,signal,6.0906,0.0,30.01,30.01,-30.0,99967.0,0.4732,0.5297,0.5339,0.4184,0.6835,0.5787,uptrend,1.0,62.89,up,0.4184
2,2019-07-18,09:49:25,sell,signal,6.0394,29.83,8.15,-21.68,-204.98,99696.93,-0.4184,-0.4349,-0.3787,-0.5721,-0.5641,-0.4355,downtrend,1.0,0.0,down,0.5721
3,2019-07-18,10:23:23,buy,signal,6.0506,8.16,27.58,19.42,-19.36,99689.09,0.1856,0.1168,0.2158,0.298,0.1758,-0.1247,reversal_watch,1.0,38.16,up,0.298
4,2019-07-22,09:41:02,sell,signal,5.9294,27.18,13.67,-13.52,-314.1,99128.96,-0.6395,-0.6932,-0.7232,-0.6949,-0.9096,-0.4549,downtrend,1.0,0.0,down,0.6949
5,2019-07-22,09:41:50,sell,signal,5.8594,13.53,0.0,-13.53,-477.26,98954.3,-0.1493,-0.1967,-0.3454,0.4819,0.2727,-0.0102,downtrend,0.8,0.0,down,0.947
6,2019-07-23,09:56:17,buy,signal,5.8906,0.0,29.05,29.05,-28.74,98922.68,0.1259,0.1308,0.1862,-0.1531,-0.0047,-0.0349,uptrend,1.0,29.28,up,0.3364
7,2019-07-25,11:11:59,buy,signal,6.0906,29.75,58.42,28.68,-28.63,99867.09,0.4269,0.4437,0.3437,0.6898,0.8899,0.4662,uptrend,1.0,58.41,up,0.6898
8,2019-07-25,14:44:00,sell,signal,6.0394,58.22,43.89,-14.34,105.31,99372.37,-0.1124,-0.176,-0.1391,-0.3036,-0.3285,-0.2746,uptrend,1.0,26.67,down,0.3036
9,2019-07-26,10:26:52,sell,signal,6.0194,43.81,30.67,-13.14,53.38,99213.61,-0.2495,-0.3696,-0.2969,-0.4046,-0.7147,-0.4902,uptrend,1.0,30.66,down,0.4046
10,2019-07-26,11:00:33,sell,signal,5.9694,30.49,12.63,-17.86,-74.91,98941.46,-0.367,-0.4093,-0.3172,-0.6466,-0.7342,-0.4926,up_exhaustion,1.0,0.0,down,0.6466
11,2019-07-26,13:28:58,buy,signal,6.0406,12.76,31.05,18.29,-18.12,99068.1,0.3997,0.4529,0.3295,0.5248,0.6837,0.5476,uptrend,1.0,55.78,up,0.5248
12,2019-07-29,09:43:04,buy,signal,6.1006,31.27,50.22,18.95,-18.83,99353.01,0.3422,0.3167,0.301,0.5421,0.5877,0.2696,uptrend,1.0,50.21,up,0.5421
13,2019-07-30,09:48:37,sell,signal,6.1194,50.3,35.21,-15.09,155.35,99500.08,-0.2236,-0.2491,-0.4059,-0.3247,-0.4468,-0.0243,uptrend,1.0,35.21,down,0.8445
14,2019-07-30,10:42:42,buy,signal,6.1906,35.47,53.7,18.23,-18.2,99880.83,0.5122,0.5836,0.4543,0.6834,0.9527,0.6545,uptrend,1.0,66.66,up,0.6834
15,2019-07-30,10:44:24,sell,signal,6.1894,53.7,41.19,-12.51,172.63,99867.09,-0.0166,0.055,-0.1858,-0.1663,-0.0723,0.5125,uptrend,1.0,41.19,neutral,1.0
16,2019-07-30,14:46:40,sell,signal,6.1294,40.96,22.22,-18.73,77.76,99447.82,-0.3302,-0.425,-0.3765,-0.6285,-0.5821,-0.3812,uptrend,1.0,22.22,down,0.8198
17,2019-08-01,11:06:03,buy,signal,6.0206,21.91,46.23,24.32,-24.08,99024.71,0.3363,0.3657,0.3874,0.5867,0.8481,0.0516,up_exhaustion,1.0,49.64,up,0.5867
18,2019-08-01,13:52:02,sell,signal,6.0094,46.19,30.03,-16.16,-143.1,98931.07,-0.5116,-0.5793,-0.5158,-0.7744,-0.9287,-0.5307,up_exhaustion,1.0,30.03,down,0.7744
19,2019-08-02,10:44:32,buy,signal,5.9606,29.85,54.02,24.17,-23.84,98657.69,0.3852,0.4229,0.3513,0.5644,0.803,0.4121,reversal_watch,1.0,54.37,up,0.5644
20,2019-08-02,13:54:33,sell,signal,5.9294,53.9,39.24,-14.66,-220.18,98373.53,-0.0313,0.0536,0.0683,-0.1509,0.0977,0.0594,downtrend,1.0,39.23,neutral,0.8341
21,2019-08-02,14:25:58,sell,signal,5.9294,39.24,25.51,-13.73,-206.17,98358.67,-0.3079,-0.2978,-0.2243,-0.4969,-0.4867,-0.2841,downtrend,0.8,25.51,down,0.8233
22,2019-08-05,11:25:37,sell,signal,5.8994,25.41,0.0,-25.41,-509.62,98204.29,-0.3964,-0.3844,-0.3765,-0.5589,-0.816,-0.439,downtrend,0.8,0.0,down,0.6399
23,2019-08-06,13:53:02,buy,signal,5.6806,0.0,30.01,30.01,-29.46,98171.88,0.512,0.5764,0.5306,0.6562,0.807,0.5705,reversal_watch,1.0,66.64,up,0.6562
24,2019-08-07,11:02:39,sell,signal,5.6194,29.78,16.69,-13.09,-152.2,97846.61,-0.228,-0.2783,-0.2887,-0.1427,-0.5172,-0.4358,up_exhaustion,1.0,0.0,down,0.5182
25,2019-08-08,10:09:52,sell,signal,5.5994,16.64,0.0,-16.64,-252.04,97770.59,-0.5626,-0.6145,-0.6763,-0.7085,-0.9816,-0.4929,up_exhaustion,1.0,0.0,down,0.759
26,2019-08-08,13:31:39,buy,signal,5.6406,0.0,30.01,30.01,-29.33,97738.32,0.2754,0.3062,0.3454,0.4262,0.4023,0.1423,up_exhaustion,0.8,37.41,up,1.0
27,2019-08-09,14:50:36,sell,signal,5.6094,29.9,15.67,-14.23,-90.92,97567.05,-0.1945,-0.1113,-0.3048,-0.2998,-0.119,-0.0294,up_exhaustion,0.8,15.67,down,1.0
28,2019-08-12,10:11:01,buy,signal,5.9006,16.35,33.3,16.95,-16.67,98338.93,0.2173,0.1469,0.2488,0.2625,0.2247,0.0296,uptrend,0.8,33.29,up,0.4934
29,2019-08-12,10:54:05,buy,signal,6.0006,33.67,46.54,12.87,-12.72,98879.89,0.6531,0.7324,0.6789,0.7895,1.0562,0.7244,uptrend,0.8,64.0,up,0.7895
30,2019-08-12,10:59:48,sell,signal,6.0094,46.58,32.61,-13.97,385.52,98941.37,-0.1383,-0.1378,-0.3827,-0.0993,-0.1881,0.1559,uptrend,0.8,32.61,down,0.5495
31,2019-08-13,09:36:42,buy,signal,6.1906,33.26,63.28,30.02,-29.97,99874.7,0.547,0.5183,0.586,0.8086,0.8644,0.37,uptrend,1.0,70.03,up,1.0
32,2019-08-13,09:39:59,sell,signal,6.1694,63.2,47.85,-15.35,394.91,99653.66,-0.045,0.0228,-0.2376,-0.17,0.0588,0.092,uptrend,1.0,47.84,down,0.9091
33,2019-08-13,09:51:24,sell,signal,6.3494,48.57,34.0,-14.57,785.88,101028.54,-0.0774,-0.1699,-0.1634,-0.0537,-0.352,-0.1501,uptrend,1.0,34.0,down,0.2667
34,2019-08-14,09:38:19,sell,trailing_stop,6.3694,34.07,20.0,-14.07,801.93,101121.08,0.1035,0.0152,-0.0017,0.3339,0.1502,-0.0683,uptrend,1.0,20.0,up,0.6675
35,2019-08-14,09:45:55,buy,signal,6.4906,20.3,33.09,12.79,-12.98,101487.82,0.459,0.479,0.4558,0.596,0.7933,0.4447,uptrend,1.0,61.51,up,0.596
36,2019-08-14,09:47:44,buy,signal,6.5007,33.13,46.58,13.45,-13.65,101524.56,0.345,0.3448,0.2974,0.4995,0.4902,0.3313,uptrend,1.0,50.48,up,0.89
37,2019-08-14,09:50:47,sell,signal,6.4993,46.58,33.77,-12.8,423.41,101510.26,-0.2727,-0.4188,-0.3368,-0.358,-0.5793,-0.3093,uptrend,1.0,32.6,down,0.358
38,2019-08-15,10:06:18,buy,signal,6.4906,33.74,48.47,14.73,-14.93,101441.08,0.3241,0.2728,0.2961,0.5425,0.6676,0.429,uptrend,1.0,48.46,up,0.5425
39,2019-08-15,10:12:28,sell,signal,6.4794,48.43,33.9,-14.52,291.11,101349.13,-0.3696,-0.4644,-0.5071,-0.536,-0.8478,-0.296,uptrend,1.0,33.9,down,0.6996
40,2019-08-15,10:37:12,buy,signal,6.5007,33.97,49.24,15.27,-15.48,101438.15,0.5831,0.5697,0.6166,0.8554,1.0689,0.4328,uptrend,1.0,73.53,up,1.0
41,2019-08-15,10:45:51,sell,signal,6.5593,49.47,34.63,-14.84,368.15,101882.56,-0.1254,-0.2482,-0.1953,-0.1083,-0.4905,-0.3641,uptrend,1.0,34.63,down,0.6556
42,2019-08-16,09:45:06,buy,signal,6.9207,35.85,53.54,17.69,-18.35,103798.67,0.3765,0.3774,0.3419,0.5355,0.757,0.541,uptrend,1.0,53.53,up,0.5606
43,2019-08-16,09:59:16,sell,signal,6.8193,53.17,37.23,-15.95,590.73,102977.56,-0.1773,-0.319,-0.2467,-0.1681,-0.337,-0.2951,uptrend,1.0,37.22,down,0.6245
